num,rating,movie_title,num_reviews
1,97%,Gravity (2013),303
2,97%,12 Years a Slave (2013),259
3,98%,Before Midnight (2013),173
4,99%,Short Term 12 (2013),146
5,98%,Mud (2013),168
6,95%,Inside Llewyn Davis (2013),232
7,99%,20 Feet From Stardom (2013),110
8,99%,Gloria (2013),104
9,99%,Wadjda (2013),102
10,94%,Dallas Buyers Club (2013),223
11,94%,Her (2013),219
12,93%,American Hustle (2013),242
13,98%,Blackfish (2013),119
14,96%,Enough Said (2013),164
15,93%,Captain Phillips (2013),235
16,100%,The Square (2013),58
17,100%,The Rocket (2013),53
18,93%,All Is Lost (2013),212
19,100%,Sound City (2013),41
20,92%,Nebraska (2013),210
21,94%,Fruitvale Station (2013),161
22,95%,The Act Of Killing (2013),132
23,98%,Jodorowsky's Dune (2013),58
24,95%,Stories We Tell (2013),127
25,98%,Starred Up (2013),43
26,98%,Call Me Kuchu (2013),42
27,93%,Frances Ha (2013),161
28,97%,The Selfish Giant (2013),63
29,94%,The Past (2013),131
30,95%,A Hijacking (2013),106
31,96%,Muscle Shoals (2013),79
32,91%,Blue Jasmine (2013),195
33,89%,The Hunger Games: Catching Fire (2013),243
34,92%,Philomena (2013),169
35,96%,Cutie And The Boxer (2013),71
36,95%,Behind the Candelabra (2013),94
37,93%,The Hunt (2013),122
38,92%,The Spectacular Now (2013),146
39,93%,Room 237 (2013),120
40,96%,The Crash Reel (2013),45
41,93%,No (2013),116
42,89%,Rush (2013),209
43,95%,War Witch (2013),60
44,93%,The Gatekeepers (2013),104
45,89%,The World's End (2013),199
46,87%,Star Trek Into Darkness (2013),246
47,89%,Frozen (2013),186
48,92%,In a World... (2013),112
49,94%,Museum Hours (2013),62
50,90%,Blue Is The Warmest Color (2013),156
51,93%,We Steal Secrets: The Story Of Wikileaks (2013),76
52,94%,After Tiller (2013),51
53,94%,A Band Called Death (2013),48
54,94%,Drug War (2013),47
55,93%,Still Mine (2013),57
56,93%,Mistaken for Strangers (2013),42
57,93%,Our Children (2013),41
58,93%,Mother Of George (2013),40
59,92%,Gimme The Loot (2013),64
60,91%,Beyond The Hills (2013),87
61,92%,Inequality For All (2013),60
62,92%,A Touch of Sin (2013),52
63,88%,The Wind Rises (2013),138
64,86%,The Conjuring (2013),185
65,91%,Caesar Must Die (2013),46
66,90%,A Place at the Table (2013),60
67,89%,In the House (2013),81
68,88%,Tim's Vermeer (2013),104
69,85%,The Way Way Back (2013),170
70,88%,The Angels' Share (2013),93
71,89%,Omar (2013),65
72,89%,Hannah Arendt (2013),63
73,83%,This Is the End (2013),206
74,87%,What Maisie Knew (2013),103
75,82%,Prisoners (2013),222
76,88%,Alan Partridge (2013),76
77,83%,Side Effects (2013),195
78,89%,My Brother The Devil (2013),45
79,88%,Fill the Void (2013),66
80,84%,Much Ado About Nothing (2013),153
81,84%,Upstream Color (2013),133
82,87%,The Attack (2013),53
83,86%,Computer Chess (2013),73
84,84%,Under the Skin (2013),120
85,85%,Sightseers (2013),95
86,87%,Happy People: A Year in the Taiga (2013),45
87,86%,The Patience Stone (2013),57
88,85%,We Are What We Are (2013),79
89,86%,Yossi (2013),43
90,85%,Dirty Wars (2013),66
91,83%,The Armstrong Lie (2013),108
92,83%,Drinking Buddies (2013),107
93,83%,Prince Avalanche (2013),103
94,85%,At Berkeley (2013),41
95,83%,Berberian Sound Studio (2013),89
96,83%,From Up On Poppy Hill (2013),83
97,84%,Kon Tiki (2013),55
98,83%,Blue Caprice (2013),77
99,84%,Leviathan (2013),44
100,82%,Shadow Dancer (2013),87
